eyeAct,uAct,uPow,lAct,lPow,time
neutral,surprise,0.773818,neutral,0.0,1732051117.5411
neutral,surprise,0.773818,neutral,0.0,1732051117.5721
neutral,surprise,0.523448,neutral,0.0,1732051117.6347
neutral,surprise,0.523448,neutral,0.0,1732051117.6975
neutral,surprise,0.503529,neutral,0.0,1732051117.7598
neutral,surprise,0.503529,neutral,0.0,1732051117.7908
neutral,surprise,0.504786,neutral,0.0,1732051117.8537
neutral,surprise,0.504786,neutral,0.0,1732051117.8851
neutral,surprise,0.504786,neutral,0.0,1732051117.9478
neutral,surprise,0.64007,neutral,0.0,1732051118.01
neutral,surprise,0.64007,neutral,0.0,1732051118.0726
neutral,surprise,0.98254,neutral,0.0,1732051118.1037
neutral,surprise,0.98254,neutral,0.0,1732051118.1661
neutral,surprise,1.0,neutral,0.0,1732051118.2286
neutral,surprise,1.0,neutral,0.0,1732051118.2601
neutral,surprise,1.0,neutral,0.0,1732051118.3223
neutral,surprise,0.971278,neutral,0.0,1732051118.385
neutral,surprise,0.971278,neutral,0.0,1732051118.416
neutral,surprise,0.930221,neutral,0.0,1732051118.4786
neutral,surprise,0.930221,neutral,0.0,1732051118.5406
neutral,surprise,0.930221,neutral,0.0,1732051118.5719
neutral,surprise,1.0,neutral,0.0,1732051118.6345
neutral,surprise,1.0,neutral,0.0,1732051118.697
neutral,surprise,1.0,neutral,0.0,1732051118.728
neutral,surprise,1.0,neutral,0.0,1732051118.7904
neutral,surprise,1.0,neutral,0.0,1732051118.8218
neutral,surprise,1.0,neutral,0.0,1732051118.8841
neutral,surprise,1.0,neutral,0.0,1732051118.9466
neutral,surprise,1.0,neutral,0.0,1732051119.0092
neutral,surprise,1.0,neutral,0.0,1732051119.0405
neutral,surprise,1.0,neutral,0.0,1732051119.1028
neutral,surprise,1.0,neutral,0.0,1732051119.1342
neutral,surprise,1.0,neutral,0.0,1732051119.1969
neutral,surprise,1.0,neutral,0.0,1732051119.2592
neutral,surprise,1.0,neutral,0.0,1732051119.2904
neutral,surprise,1.0,neutral,0.0,1732051119.3531
neutral,surprise,1.0,neutral,0.0,1732051119.4157
neutral,surprise,1.0,neutral,0.0,1732051119.4469
neutral,surprise,0.980953,neutral,0.0,1732051119.5094
neutral,surprise,0.980953,neutral,0.0,1732051119.5722
neutral,surprise,1.0,neutral,0.0,1732051119.6032
neutral,surprise,1.0,neutral,0.0,1732051119.6655
neutral,surprise,1.0,neutral,0.0,1732051119.728
neutral,surprise,1.0,neutral,0.0,1732051119.7594
neutral,surprise,1.0,neutral,0.0,1732051119.8215
neutral,neutral,0.0,neutral,0.0,1732051119.8525
neutral,neutral,0.0,neutral,0.0,1732051119.9152
neutral,neutral,0.0,neutral,0.0,1732051119.9777
neutral,neutral,0.0,neutral,0.0,1732051120.0398
neutral,neutral,0.0,neutral,0.0,1732051120.0708
neutral,neutral,0.0,neutral,0.0,1732051120.1337
neutral,neutral,0.0,neutral,0.0,1732051120.196
neutral,neutral,0.0,neutral,0.0,1732051120.2582
neutral,neutral,0.0,neutral,0.0,1732051120.2894
neutral,neutral,0.0,neutral,0.0,1732051120.3208
neutral,surprise,0.086245,neutral,0.0,1732051120.3833
neutral,surprise,0.086245,neutral,0.0,1732051120.4455
neutral,surprise,0.228937,neutral,0.0,1732051120.5082
neutral,surprise,0.228937,neutral,0.0,1732051120.5397
neutral,surprise,0.440645,neutral,0.0,1732051120.6021
neutral,surprise,0.440645,neutral,0.0,1732051120.6644
neutral,surprise,0.440645,neutral,0.0,1732051120.6957
neutral,surprise,0.208141,neutral,0.0,1732051120.7586
neutral,surprise,0.208141,neutral,0.0,1732051120.7898
neutral,neutral,0.0,smile,0.0,1732051120.8525
neutral,neutral,0.0,smile,0.0,1732051120.915
neutral,neutral,0.0,smile,0.0,1732051120.9461
neutral,neutral,0.0,smile,0.0,1732051121.0085
neutral,neutral,0.0,smile,0.0,1732051121.0711
neutral,neutral,0.0,smile,0.0,1732051121.1022
neutral,neutral,0.0,smile,0.0,1732051121.1644
neutral,neutral,0.0,smile,0.0,1732051121.2271
neutral,neutral,0.0,smile,0.0,1732051121.2583
neutral,neutral,0.0,smile,0.0,1732051121.3212
neutral,neutral,0.0,smile,0.0,1732051121.3832
neutral,neutral,0.0,smile,0.0,1732051121.4146
neutral,neutral,0.0,smile,0.0,1732051121.4772
neutral,neutral,0.0,smile,0.0,1732051121.5395
neutral,neutral,0.0,smile,0.0,1732051121.5705
neutral,neutral,0.0,smile,0.0,1732051121.633
neutral,neutral,0.0,smile,0.0,1732051121.6957
neutral,neutral,0.0,smile,0.0,1732051121.7582
neutral,neutral,0.0,smile,0.0,1732051121.7892
neutral,neutral,0.0,smile,0.0,1732051121.8518
neutral,neutral,0.0,smile,0.0,1732051121.8828
neutral,neutral,0.0,smile,0.0,1732051121.9451
neutral,neutral,0.0,smile,0.11076,1732051122.0074
neutral,neutral,0.0,smile,0.11076,1732051122.0386
neutral,neutral,0.0,smile,0.234518,1732051122.1013
neutral,neutral,0.0,smile,0.234518,1732051122.1323
neutral,neutral,0.0,smile,0.234518,1732051122.1948
neutral,neutral,0.0,smile,0.029883,1732051122.2575
neutral,neutral,0.0,smile,0.029883,1732051122.3198
neutral,neutral,0.0,smile,0.024618,1732051122.351
neutral,neutral,0.0,smile,0.024618,1732051122.4137
neutral,neutral,0.0,smile,0.046049,1732051122.4762
neutral,neutral,0.0,smile,0.046049,1732051122.5074
neutral,neutral,0.0,smile,0.046049,1732051122.5698
neutral,neutral,0.0,smile,0.089962,1732051122.6012
neutral,neutral,0.0,smile,0.089962,1732051122.6637
neutral,neutral,0.0,smile,0.171052,1732051122.7261
neutral,neutral,0.0,smile,0.171052,1732051122.7888
neutral,neutral,0.0,smile,0.171052,1732051122.8202
neutral,neutral,0.0,smile,0.403717,1732051122.8825
neutral,neutral,0.0,smile,0.403717,1732051122.945
neutral,neutral,0.0,smile,0.59075,1732051122.9763
neutral,neutral,0.0,smile,0.59075,1732051123.0386
neutral,neutral,0.0,smile,0.59075,1732051123.0698
neutral,neutral,0.0,smile,0.358034,1732051123.1323
neutral,neutral,0.0,smile,0.358034,1732051123.1951
neutral,neutral,0.0,smile,0.084632,1732051123.2263
neutral,neutral,0.0,smile,0.084632,1732051123.2887
neutral,neutral,0.0,smile,0.017453,1732051123.3511
neutral,neutral,0.0,smile,0.017453,1732051123.3825
neutral,neutral,0.0,smile,0.017453,1732051123.4446
neutral,neutral,0.0,smile,0.008824,1732051123.5071
neutral,neutral,0.0,smile,0.008824,1732051123.5697
neutral,neutral,0.0,smile,0.023389,1732051123.6011
neutral,neutral,0.0,smile,0.023389,1732051123.6632
neutral,neutral,0.0,smile,0.023389,1732051123.6945
neutral,neutral,0.0,smile,0.02698,1732051123.7572
neutral,neutral,0.0,smile,0.02698,1732051123.8193
neutral,neutral,0.0,smile,0.064809,1732051123.8503
neutral,neutral,0.0,smile,0.064809,1732051123.9128
neutral,neutral,0.0,smile,0.121102,1732051123.9754
neutral,neutral,0.0,smile,0.121102,1732051124.0375
neutral,neutral,0.0,smile,0.121102,1732051124.0685
neutral,neutral,0.0,smile,0.246468,1732051124.1311
neutral,neutral,0.0,smile,0.246468,1732051124.1623
neutral,neutral,0.0,smile,0.278464,1732051124.2244
neutral,neutral,0.0,smile,0.278464,1732051124.2869
neutral,neutral,0.0,smile,0.278464,1732051124.3183
neutral,neutral,0.0,smile,0.243595,1732051124.381
neutral,neutral,0.0,smile,0.243595,1732051124.412
neutral,neutral,0.0,smile,0.194725,1732051124.4745
neutral,neutral,0.0,smile,0.194725,1732051124.5372
neutral,neutral,0.0,smile,0.191942,1732051124.5997
neutral,neutral,0.0,smile,0.191942,1732051124.6307
neutral,neutral,0.0,smile,0.191942,1732051124.6932
neutral,neutral,0.0,smile,0.174102,1732051124.7559
neutral,neutral,0.0,smile,0.174102,1732051124.8183
neutral,neutral,0.0,smile,0.196887,1732051124.8494
neutral,neutral,0.0,smile,0.196887,1732051124.8807
neutral,neutral,0.0,smile,0.196887,1732051124.9434
neutral,neutral,0.0,smile,0.313879,1732051125.0058
neutral,neutral,0.0,smile,0.313879,1732051125.0681
neutral,neutral,0.0,smile,0.213337,1732051125.0995
neutral,neutral,0.0,smile,0.213337,1732051125.1619
neutral,neutral,0.0,smile,0.213337,1732051125.193
neutral,neutral,0.0,smile,0.067633,1732051125.2557
neutral,neutral,0.0,smile,0.067633,1732051125.3183
neutral,neutral,0.0,smile,0.0,1732051125.3805
neutral,neutral,0.0,smile,0.0,1732051125.4116
neutral,neutral,0.0,smile,0.0,1732051125.4742
neutral,neutral,0.0,smile,0.0,1732051125.5055
neutral,neutral,0.0,smile,0.0,1732051125.5679
neutral,neutral,0.0,smile,0.002222,1732051125.6301
neutral,neutral,0.0,smile,0.002222,1732051125.6615
neutral,neutral,0.0,smile,0.126392,1732051125.724
neutral,neutral,0.0,smile,0.126392,1732051125.7862
neutral,neutral,0.0,smile,0.0363,1732051125.8487
neutral,neutral,0.0,smile,0.0363,1732051125.8801
neutral,neutral,0.0,smile,0.0363,1732051125.9428
neutral,neutral,0.0,smile,0.094566,1732051125.9741
neutral,neutral,0.0,smile,0.094566,1732051126.037
neutral,neutral,0.0,smile,0.156586,1732051126.0993
neutral,neutral,0.0,smile,0.156586,1732051126.1619
neutral,neutral,0.0,smile,0.156586,1732051126.1934
neutral,neutral,0.0,smile,0.205615,1732051126.2558
neutral,neutral,0.0,smile,0.205615,1732051126.2869
neutral,neutral,0.0,smile,0.276824,1732051126.3495
neutral,neutral,0.0,smile,0.276824,1732051126.4121
neutral,neutral,0.0,smile,0.276824,1732051126.4431
neutral,neutral,0.0,smile,0.419071,1732051126.5052
neutral,neutral,0.0,smile,0.419071,1732051126.5679
neutral,neutral,0.0,smile,0.455817,1732051126.6305
neutral,neutral,0.0,smile,0.455817,1732051126.6616
neutral,neutral,0.0,smile,0.285161,1732051126.7237
neutral,neutral,0.0,smile,0.285161,1732051126.7552
neutral,neutral,0.0,smile,0.285161,1732051126.8178
neutral,neutral,0.0,smile,0.417239,1732051126.8801
neutral,neutral,0.0,smile,0.417239,1732051126.9111
neutral,neutral,0.0,smile,0.224755,1732051126.9738
neutral,neutral,0.0,smile,0.224755,1732051127.0362
neutral,neutral,0.0,smile,0.169773,1732051127.0984
neutral,neutral,0.0,smile,0.169773,1732051127.1295
neutral,neutral,0.0,smile,0.169773,1732051127.1922
neutral,neutral,0.0,smile,0.284432,1732051127.2233
neutral,neutral,0.0,smile,0.284432,1732051127.2855
neutral,neutral,0.0,smile,0.297183,1732051127.348
neutral,neutral,0.0,smile,0.297183,1732051127.3794
neutral,neutral,0.0,smile,0.297183,1732051127.442
neutral,neutral,0.0,smile,0.288191,1732051127.4733
neutral,neutral,0.0,smile,0.288191,1732051127.5359
